cityZZZS,addressZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipalityPart,municipality,zipCode,zipName,statisticalRegion
2000 MARIBOR,KOPITARJEVA ULICA 2,46.56326,15.65746,Kopitarjeva ulica,,2,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KOROŠKA CESTA 113 C,46.56093,15.62844,Koroška cesta,,113,C,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KOROŠKA CESTA 172,46.56600,15.62319,Koroška cesta,,172,,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KOROŠKA CESTA 52,46.55910,15.63717,Koroška cesta,,52,,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KOSOVA ULICA 9,46.54104,15.59950,Kosova ulica,,9,,Maribor,,Radvanje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KREKOVA ULICA 14 A,46.56236,15.64548,Krekova ulica,,14,A,Maribor,,Center,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KREKOVA ULICA 5,46.56182,15.64708,Krekova ulica,,5,,Maribor,,Center,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KRPANOVA ULICA 19,46.55582,15.62276,Krpanova ulica,,19,,Maribor,,Studenci,Maribor,2000,Maribor,Podravska
2000 MARIBOR,LAVRIČEVA ULICA 1,46.55817,15.63600,Lavričeva ulica,,1,,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,LAVRIČEVA ULICA 1 A,46.55814,15.63578,Lavričeva ulica,,1,A,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,LEONA ZALAZNIKA ULICA 35,46.57719,15.66905,Leona Zalaznika ulica,,35,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,LJUBLJANSKA ULICA 5,46.55289,15.64858,Ljubljanska ulica,,5,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,LJUBLJANSKA ULICA 9,46.55337,15.64665,Ljubljanska ulica,,9,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MAGDALENSKI TRG 7,46.55409,15.64675,Magdalenski trg,,7,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MASARYKOVA ULICA 26,46.55161,15.64827,Masarykova ulica,,26,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MEJNA ULICA 6,46.55388,15.65783,Mejna ulica,,6,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MELJSKI DOL 36,46.57005,15.66523,Meljski dol,,36,,Maribor,,Center,Maribor,2000,Maribor,Podravska
